"y","p","q"
-0.0141170923766296,0.327,-0.014529
-0.00462139238914983,0.0831000000000004,-0.017235
0.0200384889082699,-0.2785,-0.00625200000000004
-0.00561341982767072,-0.134399999999999,-0.00676600000000005
-0.00372758238163939,0.172499999999999,-0.00799699999999992
0.00083131148999982,0.1075,0.00753599999999999
-0.00408364729254007,-0.0953000000000004,0.00234499999999993
-0.00534760632659026,-0.105599999999999,-0.013304
0.0119943054310001,0.0270000000000001,-0.00096099999999999
-0.0023993021972597,0.248399999999999,-0.008853
0.0100787434790099,-0.2049,-0.010718
-0.0151606402306799,-0.1951,-0.00796199999999991
0.01545662957722,0.1023,-0.00368100000000005
-0.00062849142774013,0.2136,-0.00403100000000001
0.0169639841176004,0.1112,-0.012609
0.0219143894441398,0.4207,0.00349199999999994
-0.0287661110985402,0.2263,0.0277590000000001
0.0274644127903807,0.1089,-0.00622500000000004
0.000176819026179942,0.1723,-0.015947
0.00908889536688928,0.0930999999999997,0.000632999999999995
-0.00309108956539994,0.226599999999999,-0.0184019999999999
-0.000512328524819416,0.131,0.0110589999999999
0.00762946480115989,-0.0403000000000002,0.013035
-0.000606601576709664,-0.0444999999999993,0.021379
0.0161676881410697,0.0639000000000003,-0.000805000000000056
-0.0145117303977198,0.1652,-0.00485000000000002
-0.009826797637281,0.114100000000001,-0.00746099999999994
0.0149083987379504,0.1143,-0.00840200000000002
0.00169408554707928,-0.199400000000001,-0.00437699999999996
-0.0221678611360892,0.0108000000000006,-0.000337000000000032
0.0116879830687591,0.1512,0.018149
-0.00272462056324851,-0.0922000000000009,-0.003807
-0.00689717983267002,-0.0938999999999997,0.00102500000000005
-0.00799792215789097,0.2126,-0.005633
0.00115639034117088,-0.0933999999999999,0.00120599999999993
0.0102853820786093,0.00109999999999966,-0.002915
-0.000478305120889644,0.0158,-0.00499099999999997
-0.00412222343099966,-0.0467,0.00413300000000005
0.0029533561620898,-0.0316000000000001,-0.001664
-0.0229145056444304,0.0892999999999997,0.0141559999999999
0.0779966807360903,-0.0355999999999996,0.015823
-0.0442927588497204,0.0655000000000001,-0.00534999999999997
0.0168775595894406,0.0169999999999999,-0.00236800000000004
-0.0140896019186405,-0.0559000000000003,-0.00574399999999997
-0.00144759724179,-0.0187999999999997,-0.000647000000000064
0.0197626315739798,-0.1448,0.00714500000000007
-0.0197626315739798,-0.2228,0.00504499999999997
0.0199324119158906,-0.0735999999999999,0.014978
-0.00928511777568009,0.0800999999999998,0.0126639999999999
0.00145903808365944,-0.0525000000000002,0.0127750000000001
0.000340995983529879,0.0111000000000003,0.00647199999999992
-0.00512587021625954,-0.1233,0.0241990000000001
-0.0119977113462504,-0.2523,-0.0109790000000001
0.0190665543809398,0.1283,-0.00179200000000002
-0.0248319757011801,-0.0213999999999999,-0.00125500000000001
-0.00158773985546912,-0.1724,-0.00226599999999999
0.021293913664219,-0.0995999999999997,0.000703000000000009
0.0173143184349298,-0.166100000000001,-0.004853
-0.0020411923604291,-0.0531999999999995,0.00918000000000008
-0.00495148795723033,-0.0938000000000003,-0.00981200000000004
0.0101158362258698,-0.1339,-0.015247
-0.0296407318015595,-0.1736,-0.00565700000000002
0.0217283927616494,-0.0760000000000001,-0.00591599999999992
0.0144890845878907,-0.0895999999999995,0.00624899999999995
-0.00831668387206008,-0.248200000000001,-0.00714700000000001
0.0274765828605599,-0.0520999999999994,0.00133000000000005
-0.0069245140124794,-0.1096,0.00366099999999991
-0.00510913310909089,0.0237999999999996,0.01188
0.00818874535265035,0.0694000000000004,0.0101420000000001
-0.0217627058265295,0.0406999999999997,0.00717999999999996
-0.0025398267924901,0.0131000000000001,-0.00362000000000007
0.03300104663104,-0.0266000000000002,0.00371200000000005
-0.0197659947100206,-0.0245000000000002,-0.00903200000000004
0.0331682571723402,-0.0977999999999994,0.00265100000000007
-0.01375368082949,0.0429999999999993,-0.00939800000000002
-0.0127933514599095,0.0387,0.00105999999999995
0.0212322201057695,0.0330000000000004,-0.015045
0.0210415276433498,0.1913,0.0184380000000001
-0.0209340485650298,0.0748999999999995,-0.00211600000000001
0.03197463523653,0.0037000000000007,-0.0076750000000001
0.0204328121441799,0.0683999999999996,0.003772
-0.0225075016850402,0.1279,-0.0020349999999999
-0.0120791723556897,0.0864000000000003,-0.000111000000000083
0.00513611812176951,0.0888999999999993,0.00676300000000007
0.0078609065241606,0.105300000000001,-0.00301099999999999
-0.0119676884768207,0.1162,0.00637499999999991
0.0298178230284512,0.0250000000000004,0.00528000000000006
0.0148943671699691,0.0157999999999991,-0.011333
-0.0124010362251399,0.0559000000000003,0.00336400000000003
0.0269951983965901,0.1254,0.00115999999999994
-0.00237554034342047,-0.0886999999999998,-0.0111319999999999
-0.00463289250408927,0.0237999999999992,-0.00160100000000007
0.00256911498854961,0.0575999999999999,-0.00254299999999996
0.0119308973962102,0.00700000000000056,0.00142500000000001
0.0196756660967106,0.0207999999999999,-0.00110699999999997
-0.00811888235866043,-0.1415,-0.00945400000000007
0.0111148521680597,-0.00399999999999956,0.00459500000000002
0.00378087902809021,0.0933999999999995,0.012209
-0.00296098307254056,-0.0173000000000001,-0.000874000000000041
0.00228841270753044,-0.0202,0.00201899999999999
0.0100009962196399,-0.0362999999999998,-0.00573199999999996
0.0119898580018098,-0.0757000000000003,-0.001224
-0.00366297990867981,-0.0325999999999995,0.00326300000000002
0.0164937226309299,-0.0442999999999998,0.011207
-0.00642915015389978,0.3148,0.00727100000000003
-0.00364797865444011,-0.1931,0.012818
0.0145358382782597,0.2121,0.011678
0.00977873190015099,0.380199999999999,0.026613
-0.00175978212412087,-0.1206,0.00368800000000002
0.00938288819673083,-0.0129000000000001,0.0240010000000001
-0.0102140262539203,0.146500000000001,0.0199269999999999
-0.0106814774216408,0.176699999999999,-0.00278
0.0211370892836005,-0.0237999999999996,-0.000561999999999951
-0.00513043962867954,0.1177,0.001552
0.00780640886098993,0.0484,-0.000287999999999955
-0.0152632436609199,-0.0570000000000004,0.00645499999999999
-0.00432085690962047,-0.2135,-0.012563
-0.0132201581574396,0.906899999999999,0.0439529999999999
-0.0292802734480206,0.2355,0.073843
-0.0580894160369292,0.0982000000000003,0.0137170000000001
-0.0286342325663105,-0.3092,-0.0312830000000001
0.01388521814967,-0.0590999999999999,0.0327540000000001
-0.0497526867241698,0.1303,-0.022104
0.0624615418876795,0.0406000000000002,-0.013115
0.0016776600234909,0.0430999999999999,-0.027745
-0.00910018206974073,-0.0765000000000001,0.00422
0.0300984781478801,0.1185,0.00173499999999993
0.0353329921852703,0.0909,0.0286930000000001
-0.02884177150277,0.0188,0.024218
0.00474662034636975,-0.0553000000000001,-0.016931
0.00307534840024992,-0.0136999999999999,0.00108200000000003
0.00444752426273975,-0.0264,-0.016667
-0.0166280928333498,-0.0163000000000001,-0.00700800000000001
0.0168242908574996,-0.0173999999999999,0.02556
0.0185233205580806,-9.9999999999989e-05,-0.027047
0.0272872075214501,-0.0227000000000001,-0.017411
0.00802610530988979,0.00109999999999999,-0.029437
-0.00399495492267032,0.0757,0.00773600000000008
0.00290888691877988,0.0467,-0.011811
0.0107372117015005,-0.0195,0.016234
0.0192500832301397,0.1217,0.03651
-0.00775123937401911,0.0443,-0.021281
0.0133335308694598,-0.0253,-0.00696700000000006
-0.00299915174300036,-0.0279999999999999,-0.00101099999999998
0.0309519797023201,0.0729999999999998,-0.00076200000000004
0.00850658617429012,0.0827,0.020269
0.0145170053420598,0.1268,0.016289
0.00593619224855946,0.1039,-0.00503599999999993
-0.0174396342853598,0.0170999999999999,0.009571
0.0378326978568504,0.0954,-0.00268800000000002
-0.00900096085898028,-0.0727999999999999,-0.00807499999999994
-0.0163166610862193,-0.0947000000000001,-0.00496200000000002
0.0119917255967987,-0.0120999999999999,-0.001363
-0.00120838870243922,-0.1244,-0.012965
-0.0167235595533599,-0.0953000000000002,-0.01334
0.00936382072127984,-0.2247,-0.011953
0.0060328081508807,-0.1624,0.00485800000000003
0.0161454036301389,-0.1679,-0.00247800000000009
-0.01552931924512,-0.0948000000000002,-0.012598
0.0114183165386006,-0.0178999999999999,-0.018176
0.00682354984489919,0.0225000000000001,0.002085
-0.00818423448189964,-0.0588000000000001,-0.017527
-0.00445249373139944,-0.00669999999999998,0.000570999999999988
0.0183918401411498,-0.0231000000000001,0.00937399999999999
-0.00871855451728987,0.0684,0.00844100000000003
-0.0129561417544002,0.0157000000000001,-0.00276300000000007
0.00091389783761997,-0.00310000000000005,0.00847900000000001
-0.00491711534207973,0.0266999999999999,0.0203410000000001
0.00722942998259946,0.0212000000000001,0.029789
0.00806158961565995,-0.0138,-0.00254299999999996
0.0104160649406104,0.00429999999999997,-0.00919800000000004
-0.0183123708767798,-0.00769999999999998,-0.001614
0.00925361085946008,0.0091,0.00276699999999996
-0.00979941889831082,0.0122,0.0100140000000001
0.0214965212738107,0.00339999999999996,-0.00288299999999997
-0.02073566717843,-0.0108,-0.0173310000000001
-0.00438933941036002,0.000699999999999978,0.00548800000000005
0.0239762996023298,-0.00910000000000005,-0.00939599999999996
-0.00333106348004009,0.0183000000000001,-0.00141600000000008
0.00307850422708977,0.0201999999999999,-0.00964299999999996
-0.0106855933223002,-0.000899999999999956,-0.00164399999999998
-0.00258667909433008,0.016,0.00659900000000002
0.00348474830601031,0.0224,-0.00650300000000004
-0.01029922913298,-0.0231,-0.00984799999999997
0.00273099851124048,-0.0832,-0.0112570000000001
0.0194225230344296,-0.0351,-0.0109859999999999
-0.0416598190497401,-0.00970000000000004,0.00419700000000001
0.0114912814685599,-0.0999999999999999,-0.00616900000000009
